Date,Debit,Original Description
08/11/2022,5.28,PAYPAL *DIGIKEYCORP 402-935-7733 MN US Card xx7960 AUD 5.28 Value Date: 04/11/2022
08/11/2022,14.59,PAYPAL *EBAY AU 4029357733 AU Card xx7960 Value Date: 02/11/2022
08/11/2022,6.45,PAYPAL *EBAY AU 4029357733 AU Card xx7960 Value Date: 03/11/2022
08/11/2022,18.90,PAYPAL *BUNNINGSGRO 4029357733 AU Card xx7960 Value Date: 03/11/2022
05/11/2022,8.99,PAYPAL *GOOGLE YOUTUBE SUSydney AU
05/11/2022,26.25,KMART 1246 CASTLE HILL AU Card xx7960 Value Date: 03/11/2022
03/11/2022,5.00,SPOTLIGHT CASTLE CASTLE HILL AU
02/11/2022,4.67,OFFICEWORKS 0234 CASTLE HILL AU Card xx7960 Value Date: 31/10/2022
31/10/2022,13.75,BUNNINGS 339000 CASTLE HILL AU Card xx7960
31/10/2022,700.00,Transfer to CBA A/c NetBank BiWkRent 100284
29/10/2022,20.00,TRANSPORTFORNSW OPAL CHIPPENDALE AU Card xx7960 Value Date: 28/10/2022
25/10/2022,133.48,COLES EXPRESS 1639 BAULKHAM H AU Card xx7960 Value Date: 22/10/2022
25/10/2022,50.74,COSTCO FUEL MARSDEN PA MARSDEN PARK AU Card xx7960 Value Date: 24/10/2022
25/10/2022,20.00,TRANSPORTFORNSW OPAL CHIPPENDALE AU Card xx7960 Value Date: 21/10/2022
23/10/2022,24.57,BUNNINGS 339000 CASTLE HILL AU Card xx7960
23/10/2022,1.50,Jaycar - Castle Hill Castle Hill AU
23/10/2022,6.95,Jaycar - Castle Hill Castle Hill AU
22/10/2022,3.35,PP*GOOGLE GOOGLE STORAGE 402-935-7733 CA US Card xx7960 AUD 3.35 Value Date: 18/10/2022
17/10/2022,0.44,BUNNINGS 339000 CASTLE HILL AU Card xx7960
17/10/2022,21.00,BUNNINGS 339000 CASTLE HILL AU Card xx7960
17/10/2022,700.00,Transfer to CBA A/c NetBank BiWkRent 100284
15/10/2022,10.49,NRMA LTD SYDNEY OLYMPI AU Card xx7960 Value Date: 13/10/2022
12/10/2022,53.90,MORE TELECOM SOUTH MELBOUR AU Card xx7960 Value Date: 10/10/2022
07/10/2022,45.00,ZLR*Top Class Auto Caale Hill AU Card xx7960 Value Date: 04/10/2022
05/10/2022,8.99,PAYPAL *GOOGLE YOUTUBE SUSydney AU
05/10/2022,147.65,PAYPAL *SERVICE NSW Sydney AU
05/10/2022,215.00,AAMI
04/10/2022,20.00,Direct Debit 408856 Linkt Sydney 833490579711
04/10/2022,18.00,REPCO CASTLE HILL AU Card xx7960 Value Date: 02/10/2022
03/10/2022,4.95,Auto One Castle Hill Castle Hill AU
03/10/2022,700.00,Transfer to CBA A/c NetBank BiWkRent 100284
02/10/2022,19.81,BUNNINGS 339000 CASTLE HILL AU Card xx7960
02/10/2022,1.95,Jaycar - Castle Hill Castle Hill AU
01/10/2022,7.99,PAYPAL *GOOGLE CLOVER GAMSydney AU
30/09/2022,3.29,PAYPAL *GOOGLE CLOVER GAMSydney AU
29/09/2022,12.00,SYDNEY OLYMPIC PARK P1 SYDNEY OLYMPI AU Card xx7960 Value Date: 26/09/2022
28/09/2022,70.93,PAYPAL *EBAY AU 4029357733 AU Card xx7960 Value Date: 25/09/2022
24/09/2022,37.94,COSTCO FUEL MARSDEN PA MARSDEN PARK AU Card xx7960 Value Date: 23/09/2022
21/09/2022,3.11,PP*GOOGLE GOOGLE STORAGE 402-935-7733 CA US Card xx7960 AUD 3.11 Value Date: 18/09/2022
20/09/2022,9.99,NRMA LTD SYDNEY OLYMPI AU Card xx7960 Value Date: 16/09/2022
20/09/2022,20.00,TRANSPORTFORNSW OPAL CHIPPENDALE AU Card xx7960 Value Date: 16/09/2022
19/09/2022,20.00,Direct Debit 408856 Linkt Sydney 833490599209
19/09/2022,20.87,BUNNINGS 339000 CASTLE HILL AU Card xx7960
19/09/2022,700.00,Transfer to CBA A/c NetBank BiWkRent 100284
17/09/2022,189.55,AAMI
16/09/2022,40.00,COSTCO FUEL MARSDEN PA MARSDEN PARK AU Card xx7960 Value Date: 15/09/2022
15/09/2022,10.98,COSTCO WHOLESALE AUSTR MARSDEN PARK AU Card xx7960
15/09/2022,39.98,COSTCO WHOLESALE AUSTR MARSDEN PARK AU Card xx7960
15/09/2022,20.00,TRANSPORTFORNSW OPAL CHIPPENDALE AU Card xx7960 Value Date: 14/09/2022
13/09/2022,53.90,MORE TELECOM SOUTH MELBOUR AU Card xx7960 Value Date: 10/09/2022
13/09/2022,20.00,TRANSPORTFORNSW OPAL CHIPPENDALE AU Card xx7960 Value Date: 09/09/2022
09/09/2022,5.95,PAYPAL *EBAY AU 4029357733 AU Card xx7960 Value Date: 06/09/2022
09/09/2022,11.99,PAYPAL *EBAY AU 4029357733 AU Card xx7960 Value Date: 06/09/2022
06/09/2022,14.99,PAYPAL *GOOGLE CLOVER 4029357733 AU Card xx7960 Value Date: 31/08/2022
06/09/2022,20.00,TRANSPORTFORNSW OPAL CHIPPENDALE AU Card xx7960 Value Date: 02/09/2022
05/09/2022,8.99,PAYPAL *GOOGLE YOUTUBE SUSydney AU
05/09/2022,700.00,Transfer to CBA A/c NetBank BiWkRent 100284
02/09/2022,1.17,International Transaction Fee Value Date: 30/08/2022
02/09/2022,38.84,TN GA INST TECH PAYPATH LENEXA KS US Card xx7960 USD 26.56 Value Date: 30/08/2022
02/09/2022,40.89,International Transaction Fee Value Date: 30/08/2022
02/09/2022,1362.97,GA INST TECH PAYPATH LENEXA KS US Card xx7960 USD 932.00 Value Date: 30/08/2022
02/09/2022,175.49,PAYPAL *GRAMMARLY GN7GTJQ 402-935-7733 CA US Card xx7960 AUD 175.49 Value Date: 30/08/2022
31/08/2022,38.25,COSTCO FUEL MARSDEN PA MARSDEN PARK AU Card xx7960 Value Date: 30/08/2022
30/08/2022,9.75,PAYPAL *SPOTLIGHTPT 4029357733 AU Card xx7960 Value Date: 26/08/2022
30/08/2022,4.40,PAYPAL *EBAY AU 4029357733 AU Card xx7960 Value Date: 26/08/2022
30/08/2022,2.50,PAYPAL *COMPUTERS 4029357733 AU Card xx7960 Value Date: 26/08/2022
27/08/2022,20.00,TRANSPORTFORNSW OPAL CHIPPENDALE AU Card xx7960 Value Date: 26/08/2022
26/08/2022,23.85,AUTO & GENERAL SERVICE TOOWONG AU Card xx7960 Value Date: 24/08/2022
26/08/2022,10.45,PAYPAL *BUNNINGSGRO 4029357733 AU Card xx7960 Value Date: 23/08/2022
26/08/2022,7.20,PAYPAL *SPOTLIGHTPT 4029357733 AU Card xx7960 Value Date: 23/08/2022
23/08/2022,5.40,ELEMENT14 PTY LIMITED SYDNEY AU Card xx7960 Value Date: 08/08/2022
23/08/2022,3.00,PP*GOOGLE GOOGLE STORAGE 402-935-7733 CA US Card xx7960 AUD 3.00 Value Date: 18/08/2022
23/08/2022,0.92,ELEMENT14 PTY LIMITED SYDNEY AU Card xx7960 Value Date: 16/08/2022
23/08/2022,3.06,ELEMENT14 PTY LIMITED SYDNEY AU Card xx7960 Value Date: 16/08/2022
23/08/2022,18.31,BUDGET PETROL WEST R WEST RYDE AU Card xx7960 Value Date: 19/08/2022
22/08/2022,700.00,Transfer to CBA A/c NetBank BiWkRent 100284
21/08/2022,24.80,BUNNINGS 339000 CASTLE HILL AU Card xx7960
20/08/2022,59.00,PAYPAL *UMART 4029357733 AU Card xx7960 Value Date: 16/08/2022
18/08/2022,8.59,PAYPAL *JAYCAR PL 4029357733 AU Card xx7960 Value Date: 14/08/2022
18/08/2022,20.94,SPEEDWAY PETROLEUM K KINGS LANGLEY AU Card xx7960 Value Date: 15/08/2022
18/08/2022,20.00,TRANSPORTFORNSW OPAL CHIPPENDALE AU Card xx7960 Value Date: 17/08/2022
16/08/2022,6.49,PAYPAL *GOOGLE CLOVER 4029357733 AU Card xx7960 Value Date: 09/08/2022
16/08/2022,6.60,PAYPAL *JAYCAR PL 4029357733 AU Card xx7960 Value Date: 12/08/2022
16/08/2022,9.99,NRMA LTD SYDNEY OLYMPI AU Card xx7960 Value Date: 13/08/2022
15/08/2022,11.28,Jaycar - Castle Hill Castle Hill AU
14/08/2022,4.80,Jaycar - Castle Hill Castle Hill AU
12/08/2022,53.90,MORE TELECOM SOUTH MELBOUR AU Card xx7960 Value Date: 10/08/2022
11/08/2022,20.00,TRANSPORTFORNSW OPAL CHIPPENDALE AU Card xx7960 Value Date: 09/08/2022
10/08/2022,1.00,International Transaction Fee Value Date: 04/08/2022
10/08/2022,33.37,PAYGATE_INTERNET SHOP SEOUL KR Card xx7960 KRW 30000.00 Value Date: 04/08/2022
10/08/2022,8.99,PAYPAL *GOOGLE YOUTUBE 4029357733 AU Card xx7960 Value Date: 05/08/2022
08/08/2022,700.00,Transfer to CBA A/c NetBank BiWkRent 100284
05/08/2022,1.12,Jaycar - Castle Hill Castle Hill AU
05/08/2022,42.80,PAYPAL *CORE ELEC 4029357733 AU Card xx7960 Value Date: 02/08/2022
05/08/2022,29.63,PAYPAL *ALIPAYAUSTR 4029357733 AU Card xx7960 Value Date: 02/08/2022
04/08/2022,20.00,Direct Debit 408856 Linkt Sydney 833490557756
03/08/2022,23.85,AUTO & GENERAL SERVICE TOOWONG AU Card xx7960 Value Date: 01/08/2022
02/08/2022,39.69,COSTCO FUEL MARSDEN PA MARSDEN PARK AU Card xx7960 Value Date: 01/08/2022
01/08/2022,12.10,Jaycar - Castle Hill Castle Hill AU
30/07/2022,4.75,BUNNINGS 339000 CASTLE HILL AU Card xx7960
28/07/2022,20.00,Direct Debit 408856 Linkt Sydney 833490533872
25/07/2022,700.00,Transfer to CBA A/c NetBank BiWkRent 100284
22/07/2022,3.09,PP*GOOGLE GOOGLE STORAGE 402-935-7733 CA US Card xx7960 AUD 3.09 Value Date: 18/07/2022
21/07/2022,2.85,International Transaction Fee Value Date: 19/07/2022
21/07/2022,95.05,WWW.XVOUCHER.COM HTTPSWWW.XVOU NV US Card xx7960 USD 64.37 Value Date: 19/07/2022
15/07/2022,7.50,BUNNINGS 339000 CASTLE HILL AU Card xx7960
15/07/2022,9.99,NRMA LTD SYDNEY OLYMPI AU Card xx7960 Value Date: 13/07/2022
12/07/2022,53.90,MORE TELECOM SOUTH MELBOUR AU Card xx7960 Value Date: 10/07/2022
11/07/2022,700.00,Transfer to CBA A/c NetBank BiWkRent 100284
09/07/2022,28.47,BUNNINGS 339000 CASTLE HILL AU Card xx7960
08/07/2022,8.99,PAYPAL *GOOGLE YOUTUBE 4029357733 AU Card xx7960 Value Date: 05/07/2022
07/07/2022,1.03,International Transaction Fee Value Date: 02/07/2022
07/07/2022,34.46,PAYGATE_INTERNET SHOP SEOUL KR Card xx7960 KRW 30000.00 Value Date: 02/07/2022
06/07/2022,23.85,AUTO & GENERAL SERVICE TOOWONG AU Card xx7960 Value Date: 03/07/2022
06/07/2022,26.85,COSTCO FUEL MARSDEN PA MARSDEN PARK AU Card xx7960 Value Date: 05/07/2022
05/07/2022,149.99,COSTCO WHOLESALE AUSTR MARSDEN PARK AU Card xx7960
